link,from_version,to_version
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch5to17.exe,5,17
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch7to17.exe,7,17
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch8to17.exe,8,17
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch9to17.exe,9,17
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch10to17.exe,10,17
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch11to17.exe,11,17
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch12to17.exe,12,17
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch13to17.exe,13,17
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch13to17.exe,13,17
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch14to17.exe,14,17
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch14to17.exe,14,17
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch15to17.exe,15,17
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch15to17.exe,15,17
http://203.66.143.3/maplestory/download/MaplePatch17to18.exe,17,18
http://yesterday66.myweb.hinet.net/050908/MaplePatch17to18.exe,17,18
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch17to18.exe,17,18
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch17to18.exe,17,18
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch13to19.exe,13,19
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch13to19.exe,13,19
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch14to19.exe,14,19
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch17to19.exe,17,19
http://203.66.143.3/maplestory/download/MaplePatch18to19.exe,18,19
http://203.66.143.4/maplestory/download/MaplePatch18to19.exe,18,19
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch18to19.exe,18,19
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch18to19.exe,18,19
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch18to19.exe,18,19
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch18to19.exe,18,19
http://gdowntown.gigigaga.com/soft-world/gamania/MaplePatch19to21.exe,19,21
http://203.66.143.4/maplestory/download/MaplePatch20to21.exe,20,21
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch20to21.exe,20,21
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch20to21.exe,20,21
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch20to21.exe,20,21
http://gdowntown.gigigaga.com:80/soft-world/gamania/MaplePatch20to21.exe,20,21
http://203.66.143.4/maplestory/download/MaplePatch21to22.exe,21,22
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch21to22.exe,21,22
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch21to22.exe,21,22
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch21to22.exe,21,22
http://gdowntown.gigigaga.com:80/soft-world/gamania/MaplePatch21to22.exe,21,22
http://203.66.143.4/maplestory/download/MaplePatch22to23.exe,22,23
http://dl3.gamania.com/maplestory/download/MaplePatch22to23.exe,22,23
http://203.66.143.4/maplestory/download/MaplePatch23to24.exe,23,24
http://dl3.gamania.com/maplestory/download/MaplePatch23to24.exe,23,24
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch23to24.exe,23,24
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch23to24.exe,23,24
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch23to25.exe,23,25
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch23to25.exe,23,25
http://dl3.gamania.com/maplestory/download/MaplePatch24to25.exe,24,25
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch24to25.exe,24,25
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch26to27.exe,26,27
http://tw.dl.gamania.com/maplestory/download/MaplePatch27to28.exe,27,28
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch27to28.exe,27,28
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch27to28.exe,27,28
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch27to28.exe,27,28
http://tw.dl.gamania.com/maplestory/download/MaplePatch28to29.exe,28,29
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch28to29.exe,28,29
http://tw.dl.gamania.com/maplestory/download/MaplePatch29to30.exe,29,30
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch29to30.exe,29,30
http://tw.dl.gamania.com/maplestory/download/MaplePatch30to31.exe,30,31
http://tw.dl.gamania.com/maplestory/download/MaplePatch31to32.exe,31,32
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch31to32.exe,31,32
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch31to32.exe,31,32
http://tw.dl.gamania.com/maplestory/download/MaplePatch32to33.exe,32,33
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch32to33.exe,32,33
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch32to33.exe,32,33
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch32to33.exe,32,33
http://tw.dl.gamania.com/maplestory/download/MaplePatch33to35.exe,33,35
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch33to35.exe,33,35
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch33to35.exe,33,35
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch33to35.exe,33,35
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch33to35.exe,33,35
http://tw.dl.gamania.com/maplestory/download/MaplePatch34to35.exe,34,35
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch34to35.exe,34,35
http://tw.dl.gamania.com/maplestory/download/MaplePatch35to36.exe,35,36
http://tw.dl.gamania.com/maplestory/download/MaplePatch37to38.exe,37,38
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch37to38.exe,37,38
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch37to38.exe,37,38
http://tw.dl.gamania.com/maplestory/download/MaplePatch39to40.exe,39,40
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch39to40.exe,39,40
http://tw.dl.gamania.com/maplestory/download/MaplePatch40to41.exe,40,41
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch40to41.exe,40,41
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch40to41.exe,40,41
http://tw.dl.gamania.com/maplestory/download/MaplePatch42to43.exe,42,43
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch42to43.exe,42,43
http://tw.dl.gamania.com/maplestory/download/MaplePatch44to45.exe,44,45
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch44to45.exe,44,45
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch44to45.exe,44,45
http://tw.dl.gamania.com/maplestory/download/MaplePatch45to46.exe,45,46
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch45to46.exe,45,46
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch46to48.exe,46,48
http://tw.dl.gamania.com/maplestory/download/MaplePatch47to48.exe,47,48
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch47to48.exe,47,48
testserver,,
http://tw.dl.gamania.com/maplestory/download/MaplePatchT3to4.exe,T3,T4
http://tw.dl.gamania.com/maplestory/download/MaplePatchT4to5.exe,T4,T5
